date,open,high,low,close,volume
2022-02-24,6.4059229300,6.4059229300,6.3104546300,6.3295482900,18853877
2022-02-25,6.3390951200,6.3677356100,6.3295482900,6.3390951200,8854106
2022-02-28,6.3200014600,6.3390951200,6.3104546300,6.3295482900,7118342
2022-03-01,6.3390951200,6.3772824400,6.3295482900,6.3677356100,6758811
2022-03-02,6.3295482900,6.3677356100,6.3295482900,6.3486419500,5353797
2022-03-03,6.3486419500,6.3868292700,6.3486419500,6.3677356100,7172837
2022-03-04,6.3772824400,6.3772824400,6.3390951200,6.3486419500,7599707
2022-03-07,6.3486419500,6.3486419500,6.3009078000,6.3104546300,11205965
2022-03-08,6.3009078000,6.3200014600,6.2149863300,6.2245331600,14787295
2022-03-09,6.2245331600,6.2436268200,5.9285814300,6.0526902200,19971152
2022-03-10,6.1290648600,6.1290648600,6.0717838800,6.0813307100,8136116
2022-03-11,6.0526902200,6.2245331600,5.9858624100,6.2245331600,16694511
2022-03-14,6.1672521800,6.2436268200,6.1481585200,6.1767990100,10352562
2022-03-15,6.1577053500,6.1577053500,5.9381282600,5.9572219200,16316782
2022-03-16,6.0145029000,6.0717838800,5.8522067900,6.0431433900,16702178
2022-03-17,6.0813307100,6.1195180300,6.0431433900,6.0622370500,12614429
2022-03-18,6.0526902200,6.1863458400,6.0431433900,6.1195180300,13340278
2022-03-21,6.1099712000,6.1195180300,6.0622370500,6.1195180300,7893414
2022-03-22,6.1004243700,6.1767990100,6.0813307100,6.1386116900,7872880
2022-03-23,6.1195180300,6.1386116900,6.1004243700,6.1099712000,6200000
2022-03-24,6.1099712000,6.1481585200,6.0717838800,6.0813307100,6295960
2022-03-25,6.0813307100,6.1004243700,6.0622370500,6.0717838800,6074278
2022-03-28,6.0431433900,6.1386116900,6.0145029000,6.0813307100,7286314
2022-03-29,6.1004243700,6.1004243700,6.0622370500,6.0717838800,5852485
2022-03-30,6.0622370500,6.1290648600,6.0622370500,6.1195180300,9754261
2022-03-31,6.0908775400,6.2054395000,6.0717838800,6.1481585200,17063095
2022-04-01,6.1195180300,6.3390951200,6.1195180300,6.3295482900,43807678
2022-04-06,6.2913609700,6.4822975700,6.2627204800,6.4632039100,47898202
2022-04-07,6.4441102500,6.4727507400,6.3104546300,6.3104546300,29240065
2022-04-08,6.3104546300,6.4154697600,6.2531736500,6.3390951200,19310825
2022-04-11,6.3200014600,6.3200014600,6.1577053500,6.1767990100,17947699
2022-04-12,6.1767990100,6.2913609700,6.1290648600,6.2531736500,14414138
2022-04-13,6.2340799900,6.2627204800,6.1958926700,6.2054395000,9935100
2022-04-14,6.2340799900,6.2627204800,6.2054395000,6.2245331600,11244950
2022-04-15,6.1863458400,6.2913609700,6.1767990100,6.2531736500,15290114
2022-04-18,6.2054395000,6.2149863300,6.0813307100,6.1099712000,16321942
2022-04-19,6.1099712000,6.1386116900,6.0813307100,6.1195180300,7434380
2022-04-20,6.1195180300,6.1290648600,6.0526902200,6.0526902200,10025700
2022-04-21,6.0526902200,6.0908775400,5.9381282600,5.9476750900,13223202
2022-04-22,5.9285814300,6.0240497300,5.9190346000,5.9572219200,13384737
2022-04-25,5.8999409400,5.9094877700,5.7090043400,5.7185511700,23813656
2022-04-26,5.7376448300,5.7567384900,5.5753487200,5.5848955500,16592363
2022-04-27,5.5371614000,5.6612701900,5.4798804200,5.6612701900,11878669
2022-04-28,5.6421765300,5.6899106800,5.5848955500,5.6135360400,7277600
2022-04-29,5.6230828700,5.7185511700,5.6135360400,5.7185511700,9599106
2022-05-05,5.8140194700,6.0335965600,5.7949258100,5.9667687500,27000111
2022-05-06,5.8808472800,5.9954092400,5.8522067900,5.9190346000,13540537
2022-05-09,5.9190346000,6.0049560700,5.9094877700,6.0049560700,12806251
2022-05-10,5.9667687500,6.0335965600,5.9381282600,6.0049560700,11354946
2022-05-11,6.0049560700,6.0622370500,5.9954092400,5.9954092400,9575100
2022-05-12,5.9763155800,6.0622370500,5.9667687500,6.0526902200,8869051
2022-05-13,6.0431433900,6.1099712000,6.0335965600,6.0908775400,10510833
2022-05-16,6.1004243700,6.1004243700,6.0431433900,6.0526902200,10816864
2022-05-17,6.0526902200,6.0908775400,6.0431433900,6.0526902200,6192785
2022-05-18,6.0526902200,6.0622370500,6.0240497300,6.0431433900,5405600
